frame,time_sec,a1_eye_state,a2_pupil_position,a3_driving_status,a4_head_rotation,a5_head_front_tilt,a6_head_side_tilt,yaw_deg,pitch_deg,roll_deg,ear,blink_rate_per_min
1,0.05,eyeOpen,center,distracted,center,extremeFrontTilt,straight,9.54,179.71,-4.45,0.279,0.0
2,0.1,eyeOpen,center,distracted,center,extremeBackTilt,straight,13.78,-179.7,-4.09,0.274,0.0
3,0.151,eyeOpen,center,distracted,45DegreeLeft,extremeFrontTilt,straight,16.27,179.09,-4.36,0.272,0.0
4,0.201,eyeClosed,center,distracted,center,extremeFrontTilt,straight,13.65,177.76,-4.6,0.107,0.0
5,0.251,eyeClosed,center,distracted,center,extremeFrontTilt,straight,11.87,177.56,-4.19,0.028,0.0
6,0.301,eyeClosed,center,distracted,center,extremeFrontTilt,straight,13.18,176.93,-4.26,0.08,0.0
7,0.352,eyeClosed,center,distracted,center,extremeFrontTilt,straight,12.79,178.48,-4.13,0.133,0.0
8,0.402,eyeClosed,center,distracted,center,extremeFrontTilt,straight,13.45,179.18,-4.28,0.16,0.0
9,0.452,eyeClosed,center,distracted,center,extremeFrontTilt,straight,14.29,178.75,-4.39,0.184,0.0
10,0.502,eyeClosed,center,distracted,center,extremeFrontTilt,straight,14.2,178.76,-4.26,0.193,0.0
11,0.553,eyeClosed,center,distracted,center,extremeFrontTilt,straight,14.19,178.6,-4.27,0.202,0.0
12,0.603,eyeClosed,center,distracted,center,extremeFrontTilt,straight,12.88,179.74,-4.12,0.14,0.0
13,0.653,eyeClosed,center,distracted,center,extremeBackTilt,straight,8.67,-179.48,-3.43,0.089,0.0
14,0.703,eyeClosed,center,distracted,center,extremeBackTilt,straight,5.04,-178.86,-3.56,0.13,0.0
15,0.753,eyeClosed,center,distracted,center,extremeBackTilt,straight,0.55,-177.99,-3.14,0.143,0.0
16,0.804,eyeClosed,center,distracted,center,extremeBackTilt,straight,-1.84,-178.37,-3.14,0.143,0.0
17,0.854,eyeClosed,center,distracted,center,extremeBackTilt,straight,-1.61,-179.01,-3.12,0.154,0.0
18,0.904,eyeOpen,center,distracted,center,extremeBackTilt,straight,-2.44,-178.51,-3.2,0.237,1.0
19,0.954,eyeOpen,center,distracted,center,extremeBackTilt,straight,-1.81,-178.74,-3.14,0.24,1.0
20,1.005,eyeOpen,center,distracted,center,extremeBackTilt,straight,3.64,-178.68,-2.76,0.251,1.0
21,1.055,eyeOpen,center,distracted,center,extremeBackTilt,straight,1.35,-178.72,-2.67,0.249,1.0
22,1.105,eyeOpen,center,distracted,center,extremeBackTilt,straight,5.49,-179.8,-3.29,0.247,1.0
23,1.155,eyeOpen,center,distracted,center,extremeBackTilt,straight,6.41,-179.02,-3.4,0.253,1.0
24,1.206,eyeOpen,center,distracted,center,extremeBackTilt,straight,6.11,-178.72,-3.15,0.249,1.0
25,1.256,eyeOpen,center,distracted,center,extremeFrontTilt,straight,3.22,178.99,-3.09,0.254,1.0
